transaction_id,customer_id,transaction_type,amount,currency,transaction_date
1000001,2506,in,509.89,EUR,2022-01-01
1000003,2373,out,248.63,EUR,2022-01-01
1000004,1289,in,478.25,EUR,2022-01-01
1000005,661,out,347.87,EUR,2022-01-01
1000010,1228,out,394.85,EUR,2022-01-01
1000016,2819,in,189.12,EUR,2022-01-01
1000022,897,out,371.79,EUR,2022-01-01
1000026,1132,in,39.13,EUR,2022-01-01
1000027,1637,in,327.38,EUR,2022-01-01
1000028,833,out,19.66,EUR,2022-01-01
1000029,250,out,251.49,EUR,2022-01-01
1000032,2259,in,97.81,EUR,2022-01-01
1000035,1240,out,367.1,EUR,2022-01-01
1000038,2539,out,427.05,EUR,2022-01-01
1000040,3791,out,510.71,EUR,2022-01-01
1000044,2085,in,447.01,EUR,2022-01-01
1000046,391,out,437.65,EUR,2022-01-01
1000047,1564,in,235.72,EUR,2022-01-01
1000049,3110,in,304.43,EUR,2022-01-01
1000052,849,out,189.71,EUR,2022-01-01
1000054,3600,out,201.04,EUR,2022-01-01
1000055,3438,out,387.94,EUR,2022-01-01
1000056,2166,out,264.44,EUR,2022-01-01
1000058,251,in,57.98,EUR,2022-01-01
1000059,1375,out,2.92,EUR,2022-01-01
1000061,852,out,127.94,EUR,2022-01-01
1000063,971,in,588.86,EUR,2022-01-01
1000064,2487,in,331.34,EUR,2022-01-01
1000069,3430,in,487.41,EUR,2022-01-02
1000071,2296,in,444.74,EUR,2022-01-02
1000072,2546,out,405.79,EUR,2022-01-02
1000073,1954,out,191.36,EUR,2022-01-02
1000078,206,out,102.62,EUR,2022-01-02
1000079,1305,in,539.74,EUR,2022-01-02
1000086,1051,out,214.66,EUR,2022-01-02
1000087,103,in,544.84,EUR,2022-01-02
1000088,2033,out,381.91,EUR,2022-01-02
1000090,3731,out,23.0,EUR,2022-01-02
1000092,3656,in,160.61,EUR,2022-01-02
1000093,2353,in,455.94,EUR,2022-01-02
1000094,2609,in,368.54,EUR,2022-01-02
1000096,2557,in,25.98,EUR,2022-01-02
1000098,1881,out,126.14,EUR,2022-01-02
1000102,1322,out,222.6,EUR,2022-01-02
1000103,1374,in,46.42,EUR,2022-01-02
1000104,185,in,483.45,EUR,2022-01-02
1000105,2522,out,579.45,EUR,2022-01-02
1000111,3849,in,103.44,EUR,2022-01-02
1000113,3530,in,204.6,EUR,2022-01-02
1000117,2584,out,154.85,EUR,2022-01-02
1000118,1145,out,505.99,EUR,2022-01-02
1000120,2881,in,348.86,EUR,2022-01-02
1000127,1752,in,539.38,EUR,2022-01-02
1000128,677,in,88.37,EUR,2022-01-02
1000130,1678,out,93.31,EUR,2022-01-02
1000132,2373,in,489.38,EUR,2022-01-02
1000137,1441,in,384.43,EUR,2022-01-02
1000139,2923,in,75.09,EUR,2022-01-02
1000140,23,out,523.87,EUR,2022-01-02
1000141,600,out,485.61,EUR,2022-01-02
